genoId,locId,replicate,blockNumber,rowNumber,colNumber,PlantHeight,GrainMoisture,GrainYield,Anthesisdate,DeNDVI0720,DeNDVI0807,DeNDVI0820,DeNDVI0910,DeNDRE0720,DeNDRE0807,DeNDRE0820,DeNDRE0910,DeSAVI0720,DeSAVI0807,DeSAVI0820,DeSAVI0910,DeEVI0720,DeEVI0807,DeEVI0820,DeEVI0910,DeRatio0720,DeRatio0807,DeRatio0820,DeRatio0910,ThrNDVI0720,ThrNDVI0807,ThrNDVI0820,ThrNDVI0910,ThrNDRE0720,ThrNDRE0807,ThrNDRE0820,ThrNDRE0910,ThrSAVI0720,ThrSAVI0807,ThrSAVI0820,ThrSAVI0910,ThrEVI0720,ThrEVI0807,ThrEVI0820,ThrEVI0910,ThrRatio0720,ThrRatio0807,ThrRatio0820,ThrRatio0910,PlantingDate,DTF,Est_Yield,Est_Moisture
18,NYH2,2,7,9,46,202,17.6,110.9614858,7/26/15,0.900565134,0.880863417,0.878927238,0.670036517,0.801251859,0.815623537,0.800661706,0.679863279,0.440798434,0.520126801,0.617755746,0.360142303,0.439975385,0.535988334,0.671460554,0.34568133,19.1136692,15.78745475,15.51899217,5.061276779,0.91090407,0.888587808,0.906618775,0.670036517,0.827550977,0.813792226,0.807872268,0.67981259,0.417088224,0.449697325,0.575469156,0.360142303,0.401350747,0.450672323,0.604855668,0.345397768,21.44771461,16.95135674,20.41758152,5.061276779,5/7/15,80,110.96,17.6
19,NYH2,2,4,7,74,176,22.8,133.1975481,7/30/15,0.82064885,0.841176878,0.828332562,0.731431473,0.725651113,0.758720146,0.752928155,0.629863709,0.369349114,0.55782602,0.593310338,0.161923335,0.362747459,0.58934911,0.638150019,0.145198415,10.15130851,11.59262489,10.65043312,6.446888954,0.78262058,0.823370323,0.795624327,0.953995445,0.673510193,0.736747266,0.708986788,0.652916945,0.306677041,0.509340139,0.515297829,0.162109424,0.291281582,0.527661484,0.533760419,0.142546336,8.200502968,10.32312549,8.785900495,42.47395565,5/7/15,84,133.2,22.8
20,NYH2,1,7,4,71,266,19,191.7355391,7/27/15,0.946072337,0.88362943,0.895194603,0.721605077,0.842880366,0.792997794,0.795824434,0.673385563,0.463568566,0.632868445,0.684515983,0.190857843,0.46570012,0.691044515,0.769544789,0.171439239,36.0867175,16.18647589,18.0829868,6.184039046,0.995980897,0.889409739,0.922239356,0.787327335,0.892593396,0.792878552,0.808541578,0.708536767,0.456080882,0.628464348,0.686112847,0.189129947,0.448866157,0.685751806,0.766328908,0.166484946,496.6234676,17.08477516,24.71995159,8.404123479,5/7/15,81,191.74,19
21,NYH2,2,3,7,55,180,18.5,138.0443279,7/25/15,0.864144213,0.868628346,0.858142158,0.718224355,0.780425957,0.796339687,0.782935442,0.67961318,0.383186241,0.519307765,0.586990387,0.419599448,0.37509043,0.536297507,0.630251996,0.415790408,13.72149289,14.22398436,13.09862137,6.097845518,0.837115626,0.865951711,0.848895803,0.718220253,0.788202466,0.78108107,0.761140751,0.679646497,0.315485694,0.432219557,0.49518608,0.419597663,0.294165614,0.430887399,0.504856772,0.41569544,11.27864863,13.91999646,12.23589972,6.097742195,5/7/15,79,138.04,18.5
22,NYH2,1,7,4,75,229,16.4,175.0227228,7/26/15,0.933761922,0.884317153,0.891554565,0.727921287,0.840568023,0.818642753,0.811893788,0.680747968,0.464705823,0.621774745,0.665526954,0.142247697,0.469017774,0.675379275,0.741053908,0.126084112,29.19411267,16.28864774,17.44245443,6.350813949,0.983897886,0.891624808,0.91650683,0.912276735,0.890301495,0.825450146,0.826016402,0.739001824,0.46569265,0.608689607,0.653277969,0.131176349,0.460481178,0.657533354,0.717812425,0.113879051,123.2072917,17.45440789,22.95405518,21.79896907,5/7/15,80,175.02,16.4
23,NYH2,2,2,6,56,190,17.1,67.15530681,7/27/15,0.817454713,0.846885574,0.828077437,0.628695707,0.72544967,0.776363628,0.758713753,0.636970053,0.349278702,0.490718687,0.553983599,0.351870839,0.339709283,0.501313375,0.586650661,0.337960066,9.956185347,12.06212648,10.63314437,4.386417652,0.747981014,0.814893974,0.757615894,0.628704211,0.641918392,0.736549663,0.682778608,0.636976497,0.251177323,0.376406119,0.404978485,0.351874447,0.234830684,0.366466524,0.396235907,0.337894725,6.935910043,9.804618555,7.25136612,4.386541031,5/7/15,81,67.155,17.1
24,NYH2,1,8,4,51,214,16.2,175.4414374,7/25/15,0.917426879,0.86498214,0.882123277,0.541043101,0.807558708,0.778558806,0.787920853,0.626669399,0.484812634,0.596312532,0.666742784,0.296730653,0.497249398,0.644951617,0.748358662,0.273647601,23.2209568,13.81285515,15.96687816,3.357707672,0.934599429,0.866541794,0.898201789,0.541051411,0.826683755,0.775221343,0.792153006,0.626671714,0.470999778,0.57694628,0.650412188,0.296734196,0.474781655,0.619568487,0.722140018,0.273608465,29.5807729,13.98596496,18.64671073,3.357786577,5/7/15,79,175.44,16.2
25,NYH2,2,6,8,52,198,15.6,122.5340011,7/22/15,0.89801886,0.864078917,0.873000553,0.487854892,0.79519889,0.777437548,0.787551918,0.601619248,0.430888346,0.559833274,0.616945618,0.258290308,0.429359997,0.593111246,0.673865241,0.233569178,18.6114693,13.71442072,14.7481001,2.905143231,0.900823538,0.861425808,0.887923941,0.487854892,0.817948899,0.764527893,0.785368241,0.601612028,0.393392279,0.517720495,0.565579675,0.258290308,0.377975554,0.539338836,0.597708956,0.233565431,19.16607531,13.43270183,16.84502439,2.905143231,5/7/15,76,122.53,15.6
26,NYH2,2,6,8,63,223,15.8,147.9325163,7/27/15,0.931213123,0.889894869,0.894056,0.586186528,0.840749124,0.825092361,0.816172946,0.652746153,0.442658725,0.578524341,0.654385242,0.30114812,0.441008788,0.613759394,0.724691584,0.278656113,28.07531318,17.16445778,17.87789775,3.833095423,0.984937352,0.905300565,0.929967149,0.586193626,0.900735485,0.836627612,0.834045509,0.652866895,0.428824523,0.553930392,0.636660401,0.30115088,0.416650804,0.58185509,0.693784119,0.278326911,131.7787793,20.11945022,27.55802637,3.833178328,5/7/15,81,147.93,15.8
27,NYH2,2,5,8,78,216,16.8,111.1634788,7/26/15,0.850826903,0.889685609,0.865295881,0.704850878,0.775470648,0.824355953,0.794486248,0.665671419,0.36133344,0.546467914,0.595636545,0.13142505,0.350481416,0.567752184,0.636675832,0.115448753,12.40724328,17.13000077,13.84735596,5.77623565,0.845533023,0.9066259,0.876744201,0.853727097,0.797861254,0.834533437,0.789729891,0.747378394,0.294842825,0.487637042,0.516538213,0.10657476,0.273080607,0.493982203,0.524342429,0.091343506,11.94775128,20.41921583,15.22641713,12.67307244,5/7/15,80,111.16,16.8
28,NYH2,2,9,10,90,218,17,131.8530322,7/27/15,0.926142684,0.8836203,0.885244853,0.573289232,0.82301542,0.8065666,0.800125268,0.605521457,0.482961941,0.619046145,0.649458267,0.072521587,0.490827909,0.670466897,0.716165063,0.062352033,26.07924037,16.18512768,16.42841218,3.687015541,0.957119563,0.892521592,0.912580076,0.576708652,0.850244816,0.811309088,0.807243858,0.681991252,0.478776642,0.606884161,0.627428848,0.021666743,0.474075453,0.654708191,0.677097125,0.018068525,45.64131537,17.60838882,21.87807977,3.724878049,5/7/15,81,131.85,17
